participant_id,trajectory_name,feedback,group
A39A2E9C8CA1472AB2A0772068C1107F,2_forced_hard_4_seed20_9020000_60.json,"Again the red robot leaves to try to get a box while the green robot beats him to getting the box. The red robot has done great thus far and the green robot should have helped with getting the parts, but here the red robot should have waited a second to see if the green robot would have gotten the box. 
Then the yellow robot picks up and puts down the box over and over again and gives it to the machine. I don't think it mattered it was just weird. ",mid
4E4A4FEAD8AF43529314225BF3625724,2_forced_hard_4_seed3_10000000_40.json,"With the amount of robots here, one of them should be laying out boxes ahead of time",low
0F17E793552E423A9533C9BECE74921A,2_forced_hard_4_seed11_9020000_60.json,Blue robots walking aimlessly.  The one on the right should be waiting to pick up a material.  The one on the left should be picking up a material to deliver.,mid
9AF60E800E2F44C3887844833086DD04,2_incentivized_hard_4_seed9_3020000_80.json,"Yellow actually helped grab materials and place in the finishing area but is now wandering, lost, again.",mid
510F3B597F964C9995F5AAF6950977C2,2_incentivized_hard_4_seed6_9520000_100.json,"There are 4 robots and 2 machines, but every robot is taking parts to only one machine, causing a bottleneck and unnecessary waiting.",high
6624AD9B1C9045258B912C9EA8A8FACC,2_incentivized_hard_seed3_1220000_60.json,these two worked well together,low
0F0D9CC38A3E42058DC0FA76CDC0D801,2_forced_hard_seed17_2520000_40.json,The red and yellow bots aren't collaborating; yellow isn't taking the parts from red. It almost looks like they are malfunctioning or glitching. ,low
0403619B5ED848A0A79ABA081779E95B,2_incentivized_hard_4_seed8_7020000_60.json,No robots contribute to the other machine,low
818CC05305664555B4D1428BDA2A2067,2_incentivized_hard_4_seed7_9520000_100.json,blue continues to act confused and dart in different directions ,high
0F17E793552E423A9533C9BECE74921A,2_incentivized_hard_4_seed6_4020000_80.json,Second machine not being worked on.,mid
02EB1043755D41029164570FB47F88C4,2_forced_hard_seed2_3520000_40.json,"This section is weaker, alot of wasted movements by both, especially pink who becomes obsessed with dancing with a redundant part, uninterested in grabbing a box, the next needed action. ",low
98672B3E43274F39BCEC0E8A956F4934,2_incentivized_hard_4_seed1_2020000_60.json,"Extremely inefficient movements, frequent collisions. This whole thing was an absolute efficiency nightmare.",low
D837E86223B945B4BCD2231B1F45B46B,2_incentivized_hard_seed7_2020000_60.json,The yellow robot blocked the route for the red robot with the box and couldn't figure out to go back and get out of the way.,mid
73DE64120BC64CAE8547ABCF5AA238D5,2_incentivized_hard_4_seed1_3520000_80.json,The red robot seems a bit clueless,mid
616F852D5C134A20958DE7774655FB7B,2_forced_hard_4_seed3_9520000_40.json,Grey robot wandering aimlessly. Grey robot also picks up a box then puts it back where it's not needed.,low
DA69570119B24065909EFD08179AB45A,2_forced_hard_4_seed7_10000000_80.json,"Only one agent on the left is moving parts, while the other is waiting.",high
3C49C52656AC40C084B1A982A4D7E5C7,2_forced_hard_seed3_5520000_60.json,these 2 are working very efficiently together,mid
A169F6E8A615410B94AB1834CFD997F9,2_incentivized_hard_4_seed3_9520000_100.json,4th machine seemed a bit confused,high
F939C6E51B274F1E958D05AC42E78DC5,2_incentivized_hard_4_seed5_2020000_40.json,red and green are carrying items but are not heading anywhere with them.,low
F72AAEAA755041F6AA79ECE84CD76F41,2_forced_hard_seed3_4520000_40.json,"There was a staged item waiting to be moved to the machine after the machine because available, but the yellow robot was wasting time and movement elsewhere rather than picking it up and putting it into the machine as soon as it was empty.",low
83649B508CB3415591AB17C2012EEC75,2_incentivized_hard_seed5_3020000_60.json,They aren't using the other machine,mid
2B21B7636CAD4FE3B5E616714E830F53,2_incentivized_hard_4_seed6_4020000_80.json,The gray robot should have taken the part it's holding to the unoccupied machine,mid
F72AAEAA755041F6AA79ECE84CD76F41,2_incentivized_hard_4_seed5_1520000_40.json,"The yellow robot has tried to take the path that robots with items are trying to return with, blocking them and not getting out of the way.",low
AED830E65B0946B2A6D9225DDCEEDB2B,2_incentivized_hard_seed6_2520000_60.json,The yellow agent seemed lost as it only put parts onto the bottom machine and is not going to the machine on the right side.,mid
086CFAC51C8345A2B92AA875862AE375,2_forced_hard_seed15_10000000_80.json,"Much better than the other one, there's actual teamwork happening between the two robots.",high
F10B5079F863411ABD85CF7C5BD46E53,2_forced_hard_seed4_3520000_40.json,Yellow moving around too much instead of waiting by the trade bay.,low
AABBAA20233C463E998F86F6C5634190,2_incentivized_hard_seed4_1120000_60.json,I don't understand what the yellow one is doing with the product. Why doesn't it take it to the empty machine and get another machine going? ,low
954227E3450D49339CDA0B57583E449A,2_incentivized_hard_seed5_3520000_60.json,"I understand the red robot was waiting for the parts to be processed before picking them up in the box, but I felt it was a bit strange that it just started moving back and forth like it was confused.",mid
2A91EDFC1F9B448D9779F670756F5F49,2_forced_hard_seed8_10000000_80.json,The red robot did a good job of dropping off parts near the yellow robot's location.,high
1A40B0BD6ACA480A93FDCD0C474DE120,2_forced_hard_seed15_10000000_80.json,it would be better if pink could leave product on the wall near machine,high
4680491AF58148D7915636150F84281B,2_forced_hard_seed7_3520000_40.json,"Yellow you can follow a straight path from pickup to the machine, otherwise good job you two",low
A39A2E9C8CA1472AB2A0772068C1107F,2_forced_hard_4_seed20_9020000_60.json,The green robot did not help with bring parts to the machine at first while the red robot was doing a good job quickly bringing parts to the other side. This led to the right side only being able to fill up one of the machines at a time. The green robot only started actually trying to help when the right side needed a box but the red robot got out of position then probably because it thought the green robot wasn't going to help. ,mid
65FDC56138894B8E9917C6CF4FD65F39,2_incentivized_hard_seed6_2520000_60.json,It seems one of the bots glitched up for a second. ,mid
18CC1BFE7F394834A45C280195CFA65C,2_forced_hard_seed17_2520000_40.json,"seem to work together pretty well, but not 100 percent coordinated together",low
7DD0416DB65047FDAA5BCCEDBDF9B817,2_incentivized_hard_4_seed3_1820000_40.json,There's way too much dependence on a single machine rather than spreading the efforts across the two available machines.,low
D66EA70CA4F64CC0B50F9A805D8F79D5,2_incentivized_hard_seed7_10000000_80.json,I like that both AI work on the same machine making sure that a product is getting created as fast as possible. The red robot also waits with a box by the machine that is in process so it will get the finished item right away.,high
1991C4992E004C709925086751D2B5CB,2_forced_hard_seed2_10000000_80.json,They are working together to overcome the barrier.,high
09BF60420B074B23AEBA62FFC0074D83,2_incentivized_hard_4_seed1_3520000_80.json,The blue robot here put in the last piece of the part into the machine and also waited and boxed up the finished product and delivered it all on its own.,mid
377E5F34FBC9482490C18F70D5680C35,2_incentivized_hard_4_seed6_4020000_80.json,robots moving independently but not optimized,mid
EF607A2D2E6A4B2EA66AA505975B3335,2_forced_hard_4_seed9_8520000_80.json,The other three are working so well together. It seems like one robot is always unsure of what to do when there are 4. ,high
4E4A4FEAD8AF43529314225BF3625724,2_incentivized_hard_seed2_1220000_60.json,There is a delay in grabbing a box to pack up the parts - whichever AI robot is not occupied with loading the parts should be preparing the box,low
355D5A2D1A374F15885AF7D49048F056,2_forced_hard_seed15_5520000_40.json,Seemed to be some motion not towards a goal,low
D837E86223B945B4BCD2231B1F45B46B,2_incentivized_hard_4_seed7_3520000_80.json,The robots are working efficiently at this point.,mid
16CB68DCBFF94F219C0B9F3A7027F315,2_incentivized_hard_4_seed8_2020000_40.json,"The green robot is doing nothing up until this point, which is inefficient.  It could have grabbed the parts on frame 6 but did not",low
3765DE826DE6446F867FF77A69F2AB4D,2_forced_hard_seed17_10000000_80.json,"This would be much more effective if the orange robot stayed in between the drop zone and the machine, and the red robot just went back and forth dropping off the items. ",high
171DEC1860E7498A962991D13A17DE21,2_incentivized_hard_seed7_980000_40.json,"There are 2 piles of parts, but only one is ever used. The yellow robot doesn't move as efficiently as the red robot.",low
FE1E66E8C24343D0B9B0C013ECFBB4B9,2_forced_hard_4_seed1_10000000_80.json,"There are four AI Robot and they all work in a timely and organized manner, two are divided each side, one handles and gives part to the other side and the other handles boxes to the other side, on the right side, two robots picks up both the parts to machine, box it and drop it, no waiting arounf.",high
1F9B6CA2DEC54F42A178AD327751A9BC,2_incentivized_hard_4_seed10_9520000_100.json,The blue agent is behaving erratically.,high
5A4271B5E62442DF849626E815631C7D,2_incentivized_hard_4_seed10_9520000_100.json,i won't ask why the gray robot didn't just go straight to the drop zone with its box — as opposed to its acting indecisive,high
07A0DC09B35E4F6E98673F7BA187E025,2_incentivized_hard_seed6_980000_60.json,Yellow is stuck at the drop zone,low
0F0D9CC38A3E42058DC0FA76CDC0D801,2_forced_hard_seed17_2520000_40.json,"Yellow could have made their third drop zone drop-off, but they have wasted a lot of movements, resulting in a slowdown of the workflow ",low
6CDE8C2FD7394F58A121AA476EEBE276,2_incentivized_hard_seed3_2520000_60.json,Robots obstructing each other,mid
4E4A4FEAD8AF43529314225BF3625724,2_incentivized_hard_4_seed3_1820000_40.json,"There are 4 robots stuck on one simple task of grabbing a part. While this was happening, another bot couldve gone to the other parts section and starting putting parts in the machine.",low
FF983506AF184F5B853F6300F50266F9,2_forced_hard_4_seed13_10000000_60.json,The robots returning immediately once the machine was ready for the next load.,mid
0F17E793552E423A9533C9BECE74921A,2_incentivized_hard_4_seed6_4020000_80.json,"Great collaboration filling the first machine, once again.",mid
352F50BB940746CDBA37845760C42016,2_forced_hard_4_seed13_9520000_40.json,Spend less time just spinning around.,low
F472A4D8D3F34308ACE816AE17833397,2_incentivized_hard_4_seed4_9520000_100.json,"The four bots were one bot too many.  Three of the bots filled the machine efficiently, but then the fourth bot had nowhere to put his part.",high
E0C738F22DFD4123B5CBA845211CC366,2_forced_hard_4_seed7_8520000_40.json,The green robot accomplishes nothing in this time frame. The red and the green should be constantly putting parts in the center since the yellow and blue have two machines to fill. As only the red robot is doing anything here either the yellow or blue robot on the other side has nothing to do.,low
1F6D14219DB14F748F80AE9837CEEDF0,2_incentivized_hard_4_seed5_2020000_40.json,They are all blocking the blue guy in. He can't do anything. They are wasting time.,low
0F17E793552E423A9533C9BECE74921A,2_incentivized_hard_seed6_2520000_60.json,Yellow robot still walking aimlessly with an unneeded box.,mid
60F6E62AAA934061A35F7A914EBCED6D,2_incentivized_hard_seed8_10000000_80.json,The pink robot seems confused while waiting for the yellow robot to deliver a box and package parts.,high
D0F65634B2BD443E93BA84AACA228012,2_incentivized_hard_seed1_1020000_60.json,These 2 seem to be working together a lot better than the last - maybe because there are only 2 this time.,low
FF983506AF184F5B853F6300F50266F9,2_incentivized_hard_4_seed7_3520000_80.json,Three of the robots did a good job of getting parts and getting them to the machine. They had good collaberation. The poor blue robot looks lost with his part since the machine is full. He's not driving towards to be ready to load as soon as its ready.,mid
64A9945FEFE94C8CBA37B81F1C9DFB6A,2_incentivized_hard_seed3_2520000_60.json,What's the pink one doing here?! Just moving around with the item and wasting time! At the start of the clip it could have been getting a box.,mid
0140A7066983472CB1389045163E2062,2_incentivized_hard_4_seed6_2520000_40.json,inefficient movement,low
C6262A850B1145F7A713CB503DB153BD,2_incentivized_hard_seed3_2520000_60.json,Yellow robot seems confused for a short while.,mid
3B8CD7E6A73442A4AF9E166C40BFDCBC,2_forced_hard_seed7_4020000_60.json,They are working together very well,mid
EA8EA155B0CB4BCE87111B539C8B1F4C,2_forced_hard_seed2_4520000_60.json,The yellow robot was moving toward the closest machine but briefly changed its direction.,mid
55452323EBDE4536A24E063CC5A686B2,2_forced_hard_seed17_2520000_40.json,They are not transferring properly,low
83649B508CB3415591AB17C2012EEC75,2_incentivized_hard_seed5_3020000_60.json,They should split the labor,mid
30D1E4D41B204843978432535950611A,2_incentivized_hard_4_seed8_2020000_40.json,The yellow robot remains in the corner although there are tasks to complete. The red and green robots have parts and can load them into the eastern machine but continue to hold them and walk around near the machine.,low
7DD0416DB65047FDAA5BCCEDBDF9B817,2_incentivized_hard_seed2_1220000_60.json,Great job staying out of the path of the red robot and working more in an effective manner by grabbing a part ahead of the red robot!,low
79241E5C361843EDA97056607900E9C3,2_forced_hard_4_seed9_10000000_80.json,"Red robot on left seems to be stuck in a loop with one of the materials, constantly putting it on the shelf and picking it back up.",high
720FA5F3EEB840C7832391BC05050906,2_incentivized_hard_4_seed5_2520000_80.json,"Each robot performs its job, but there could be a lot of improvement in the system.",mid
046C3A524DE54997857BAF812149CBAD,2_forced_hard_4_seed11_9520000_80.json,There are times where 1 robot on the part-picking side is just wandering aimlessly. ,high
6986EB5BF00644919726BA0F2294EAE1,2_forced_hard_4_seed13_10000000_60.json,The robot placed the bottle in an area that the other robots cannot pickup,mid
