feedbackId,id,sentiment,baseFrame,DidSpecifyRange,endFrame,timeSpentWritingFeedBackSec,index,createdAt,feedback,reason,startFrame
1pr6CgiUm0ZWW6QJQrkZ,OeRSZHBtvwWiosGO9DfO,1,68,TRUE,71,67.22,2,2026-04-21T05:46:12.453Z,Unsure what chef in the blue hat is doing here. He seems to be pacing around while chef in the green hat is moving all about.,Questioning what blue chef's role is here.,50
1pr6CgiUm0ZWW6QJQrkZ,Ws4PFdcT3uPu3yCoCNZ9,2,32,TRUE,34,43.03,1,2026-04-21T05:46:12.298Z,Taking the onions to the pot one at a time seems very inefficient. ,There is a better way to complete this task.,14
2AbcIJ7jnfI8gxAwb7C9,r2P80bkQ5Ijf3Q2fSUtb,5,67,TRUE,69,56.32,1,2026-04-21T05:51:38.284Z,It is going really well,For update,65
3qWZ8Uw942SZzXEOQnY8,ZWvHTEpxeptz6HHLXnB4,5,27,TRUE,29,62.43,1,2026-04-21T05:49:22.176Z,"Both are working together and efficiently, getting more done while both are simultaneously doing the same task for a greater output ",Seeing the increased efficiency in their tasking and output,5
3qWZ8Uw942SZzXEOQnY8,zp5y5f4xryviAFRZopLP,1,73,TRUE,75,77.06,2,2026-04-21T05:49:22.331Z,Green chef is pacing seemingly without purpose here while blue chef continues to work. It makes green chef look lazy or tired,Blue chef seems to now be working harder than green chef,54
46bH62owYmzHlQFcxs87,9yYBxBlytJ4mZJiYV6J1,1,9,TRUE,13,95.83,1,2026-04-21T05:52:40.486Z,The Chef get stuck,The AI gets confused trying to have all the chef put there onions at the same pot. Because of this they get stuck on one another. Wasting time.,7
46bH62owYmzHlQFcxs87,I5Wss0xZE2OyfQA7nYBJ,1,0,TRUE,99,85.85,2,2026-04-21T05:52:40.616Z,The AI mainly focuses on one pot,I assume it happens because the AI momentarily forgets that the upper pot exists and tells all the chefs to do everything with the bottom pot.,0
6zcw4QOofOIcmDB8HKpJ,44csSD9XLQV1fr5E1MMA,2,17,TRUE,48,101.3,2,2026-04-21T06:33:09.246Z,"They are all, focusing on the bottom stove again, and the top stove is not being used properly.",Inefficient decision making and movement.,42
6zcw4QOofOIcmDB8HKpJ,V7Dyho6DpsVLNaWjxWQR,4,45,TRUE,92,40.32,3,2026-04-21T06:33:09.421Z,"Finally using the other stove, but a little too late.","Made some good decisions, but it was far too late.",85
6zcw4QOofOIcmDB8HKpJ,zqO0kDA4lU3VjXlyJxSX,2,10,TRUE,17,24.01,1,2026-04-21T06:33:09.046Z,"They all went to the same stove, which caused a delay.",Inefficient decision making.,7
70BAc5eVY7Ib6Srkiqp6,QKgtSNk5oq7ab9MYgOd2,5,48,TRUE,50,19.44,2,2026-04-21T05:51:02.576Z,Served 1,Served 1 correctly,46
70BAc5eVY7Ib6Srkiqp6,RhZsXUVrkfBlUk5drG05,5,24,TRUE,48,87.72,1,2026-04-21T05:51:02.435Z,Correct onions to the pot x3,Correct amount of onions to the pot.,48
7Uhf4VR5FQA2adMbnjPj,5LEIErA6hkNtRU3x2JlD,5,22,FALSE,,54.08,1,2026-04-21T06:19:34.876Z,"They worked really well, and had the correct way of doing things.",They were extremely efficient.,
7oPiWBl9qEFmnRcZ4LPK,BtNpHWTZDEqF0bxj0lkQ,4,99,TRUE,93,264.86,1,2026-04-10T04:12:54.955Z,the feed back I would like to do that they are doing great work.  they served 3 and their working process is fast.,The reason for this feedback is they are good at working so I feedback them,5
8JDPY3H7EcIV4UrYpaUG,1ChoALH4e51w4e4eVQFJ,5,99,TRUE,94,469.63,1,2026-04-21T07:05:28.680Z,"All three chefs are functioning efficiently as a unit, with minimal unnecessary actions, movements or delay. I would rate this as a highly positive segment. Overall, the service is excellent. ","The three chefs are operating as quick, efficient team by filling the pots in quick succession, cooking and serving the customers with minimal delay. To me this appears like a highly functional kitchen. ",7
9O6vf4ec1oSSJKzNMP74,TJZGuhqOVKg3yde6kwgb,3,86,TRUE,88,0,1,2026-04-21T05:44:54.325Z,,,84
AcX8a7FMS4ZEIx2r2v8Y,tPhrAmG9YXLhku3d03pb,2,29,TRUE,31,160.6,1,2026-04-10T04:24:28.852Z,"One chef is passing the onion to the other chef to take to the pot. They are working together, but it isn't very efficient.",If they both took the onions to the pot it would be faster.,27
AcX8a7FMS4ZEIx2r2v8Y,xIsWyAWtTKHV0O4F8SHL,1,92,TRUE,99,164.08,2,2026-04-10T04:24:29.000Z,The same chef that took the onions to the pot starts taking the dishes to the pot and then serves while the other chef just moves onions around.,"Again, it's not very efficient. If both chefs were working together, such as one taking the dishes to the pot and the other serving, it would be a faster process.",90
B6PyA8OqlWCHkvgaGd2X,RAeG0M5M1brmCs6Z0U01,2,77,TRUE,20,768.64,1,2026-04-21T07:20:19.308Z,"The movement of the four chefs could be significantly improved here. I would give a negative rating here because of the time wasting, and inefficient movement and service in the kitchen. ","I noticed that when the four chefs, onions in hand, are all crowded together in a single spot (i.e. close to the pot), they appeared lost and confused. Mostly, they are standing around idly without getting anything done for several seconds at a time. There was a delay in terms of filling the pot and one chef even backtracked all the way up the screen towards the other pot. This kitchen is chaotic and too crowded and not well organized leading me to give it a lower score overall. ",7
